jobid,user,class
AJR119,mario,Yes
AJH327,mario,Yes
AKW688,mario,No
ALD010,mario,No
AJM620,mario,No
ATV558,mario,Yes
ALE949,mario,No
AIY934,mario,No
AKF906,mario,No
ALD325,mario,No
AKI373,mario,No
AKO896,mario,No
AJM077,mario,No
AKC569,mario,No
AKT126,mario,No
AJB264,mario,No
AJX241,mario,No
AKC262,mario,No
AKA607,mario,No
AKU451,mario,No
AJD811,mario,No
AJO774,mario,No
AJX971,mario,No
AKL022,mario,No
AJH502,mario,No
AJE942,mario,No
ALB006,mario,No
ATS885,mario,No
AKG979,mario,No
AKZ237,mario,No
AKE759,mario,No
AJR634,mario,No
AJG819,mario,No
AKL793,mario,No
AJC276,mario,Yes
AKA517,mario,No
AJJ240,mario,No
AIX878,mario,No
AJV049,mario,No
AKA679,mario,No
ALF887,mario,No
AKC066,mario,No
AJS671,mario,No
AKY659,mario,No
AKR423,mario,No
AJG140,mario,Yes
AKA941,mario,No
AJI454,mario,No
AKE644,mario,No
AJI138,mario,No
AKC259,mario,No
ALD355,mario,No
AJA463,mario,No
AKC612,mario,No
AKH401,mario,Yes
AKW405,mario,No
AJJ361,mario,No
AIV651,mario,No
AJI649,mario,No
ALE292,mario,No
AJJ749,mario,Yes
AKJ517,mario,No
AJX815,mario,No
AKA864,mario,No
AJX256,mario,No
AKY215,mario,No
AJW198,mario,No
AJA592,mario,Yes
AJI794,mario,No
ATT506,mario,No
ALA497,mario,No
AIZ121,mario,No
AKD328,mario,No
AJM662,mario,No
AKZ566,mario,Yes
AKG621,mario,Yes
AKH443,mario,No
AKC279,mario,Yes
AKF156,mario,No
ALF731,mario,Yes
AIS722,mario,No
AJJ578,mario,No
AKL045,mario,No
AKQ115,mario,No
ALD230,mario,No
AKJ610,mario,No
ALA719,mario,No
AJU392,mario,No
AKC084,mario,No
ALF900,mario,No
AJG286,mario,No
AJL756,mario,No
ALD620,mario,No
AJY010,mario,Yes
AJZ430,mario,No
AJN809,mario,No
AKB842,mario,No
AJF650,mario,No
ALB965,mario,Yes
ALB839,mario,No
AJC115,mario,No
AJM621,mario,No
AJV924,mario,No
AJT345,mario,No
ALA298,mario,No
ALA054,mario,No
AJQ169,mario,Yes
ALE271,mario,No
AJK517,mario,No
AKZ515,mario,No
ALC583,mario,No
AJD387,mario,No
AKI635,mario,No
AJC305,mario,No
AKA901,mario,No
AKW825,mario,Yes
ATV598,mario,No
AJG889,mario,No
AJA254,mario,No
AJH548,mario,No
AKB235,mario,No
AKK093,mario,No
AKF288,mario,No
AKU001,mario,No
AKB731,mario,No
AKL583,mario,No
AKJ944,mario,No
AJD160,mario,No
AKZ977,mario,No
AKJ764,mario,No
AJU313,mario,No
AKS786,mario,No
ALC227,mario,No
AKQ987,mario,No
ATU471,mario,No
AKP266,mario,No
AKI143,mario,No
AJW040,mario,No
AKJ551,mario,No
AKL453,mario,No
ALD798,mario,No
AJZ883,mario,No
ALF902,mario,No
AJU486,mario,No
AJB684,mario,No
AKG024,mario,No
AKC302,mario,No
AKV014,mario,No
AJF239,mario,No
ALC293,mario,No
AJP205,mario,No
AKG466,mario,No
AJE388,mario,No
AJH505,mario,No
AJH523,mario,No
AKY371,mario,No
ATS025,mario,No
AKE122,mario,No
AKK619,mario,No
ALB555,mario,No
AKP695,mario,No
AJE752,mario,No
AKP290,mario,No
AJW318,mario,No
AJS464,mario,No
AKK744,mario,No
AKG071,mario,No
AKT921,mario,No
AKY911,mario,Yes
AJL108,mario,No
AJD325,mario,No
AKN221,mario,No
AKN406,mario,No
AKP152,mario,Yes
AKH247,mario,No
AKT626,mario,Yes
AKL326,mario,Yes
AJC440,mario,No
AJT468,mario,No
ATS563,mario,No
AJH264,mario,No
ALD447,mario,No
AJA933,mario,No
AJS271,mario,No
AJK144,mario,No
ALA872,mario,No
AKE320,mario,No
AJB933,mario,No
AJW073,mario,No
AJT017,mario,No
AJQ365,mario,No
ALF664,mario,No
AJT382,mario,No
AJZ147,mario,No
AJZ439,mario,No
ATU757,mario,No
AJL387,mario,No
AJP734,mario,Yes
AKY531,mario,No
AKD753,mario,No
AJN162,mario,No
ALC684,mario,No
AKZ984,mario,No
ALC180,mario,No
AJG617,mario,No
ATT143,mario,No
AJO816,mario,Yes
AJN541,mario,No
AJF767,mario,No
AKD186,mario,No
AJM694,mario,No
AJG511,mario,No
ALC760,mario,No
AKI650,mario,No
AJS646,mario,No
AKZ396,mario,No
AKI514,mario,No
AJY316,mario,No
AKB684,mario,No
AKU918,mario,No
AJQ376,mario,No
AJA424,mario,No
AJY271,mario,No
AJH542,mario,No
AJJ418,mario,No
AKY032,mario,No
AKU035,mario,No
AKW508,mario,No
AKQ081,mario,No
AJY062,mario,No
AKP664,mario,No
AKA638,mario,No
AKL537,mario,No
AJE779,mario,No
AJN447,mario,No
AJB783,mario,No
AKS689,mario,No
AKK351,mario,No
AKG445,mario,No
AIZ711,mario,No
ALF244,mario,No
AKI546,mario,No
ALE923,mario,No
AJR298,mario,Yes
AJO238,mario,No
AJF618,mario,No
AJE008,mario,No
AKA308,mario,No
AKJ327,mario,No
ALA927,mario,No
AKS954,mario,No
AKB662,mario,No
AKK601,mario,No
AKJ738,mario,No
AKS781,mario,No
AJB445,mario,No
ATV151,mario,No
AKT208,mario,No
AJT851,mario,No
AJZ747,mario,No
AKN585,mario,No
AKV482,mario,No
AJI237,mario,No
AKA934,mario,No
AJY206,mario,No
AJE620,mario,No
AJH888,mario,No
AJW327,mario,No
AJI532,mario,No
AJZ036,mario,No
AKQ255,mario,No
AKZ661,mario,No
AJT244,mario,No
AJR872,mario,No
AJJ136,mario,Yes
ALD570,mario,No
AJC864,mario,No
AKQ288,mario,No
AKI125,mario,No
AJQ616,mario,No
AKR715,mario,No
AJY319,mario,No
ALC442,mario,No
AKB138,mario,No
AJC844,mario,No
AJZ349,mario,No
AKB914,mario,Yes
ATS565,mario,No
AJT274,mario,No
ALD114,mario,No
AJC803,mario,No
AKE126,mario,No
AJR829,mario,No
ALB906,mario,No
ALA076,mario,Yes
AKE372,mario,No
AKL008,mario,No
AJO000,mario,No
ALC975,mario,No
AKX718,mario,No
AJZ186,mario,No
AJU968,mario,No
AKS236,mario,No
AJZ162,mario,No
AKM558,mario,No
AKM184,mario,No
AJV051,mario,No
AKI177,mario,No
AKF198,mario,No
AKC956,mario,No
AKK051,mario,No
ALB093,mario,No
AJU282,mario,No
AKV241,mario,No
AKD676,mario,Yes
AKF998,mario,No
AKB429,mario,No
AKE330,mario,No
AJC437,mario,No
AJN528,mario,No
ALF844,mario,No
AJL988,mario,No
AKV619,mario,No
AKH843,mario,No
AJZ327,mario,No
ALE383,mario,No
AJU754,mario,No
AJN795,mario,No
AJF151,mario,Yes
ALD904,mario,No
AKQ338,mario,No
AKY532,mario,No
AJU242,mario,No
AJH820,mario,No
AJI672,mario,No
ALC379,mario,No
AJJ506,mario,No
AJA899,mario,No
AKN638,mario,No
AKR351,mario,No
AKR164,mario,No
AJR562,mario,No
AKQ305,mario,No
AJS368,mario,No
AJZ029,mario,Yes
AJX093,mario,No
AJF893,mario,No
AKV069,mario,No
AJV965,mario,No
AJG683,mario,No
AKN123,mario,No
AKS441,mario,No
AJQ926,mario,No
AKD206,mario,No
ATU443,mario,No
AJR931,mario,Yes
AJP801,mario,No
AJX139,mario,No
AKR001,mario,No
AKV361,mario,No
AKI359,mario,No
ATT238,mario,No
AJU075,mario,No
AKW778,mario,No
AKF180,mario,No
AKX898,mario,No
AKJ021,mario,No
AJP899,mario,No
AJX418,mario,Yes
AJN834,mario,No
AJF955,mario,No
ALD939,mario,No
AKK645,mario,No
AKV614,mario,No
AJJ616,mario,No
AJY177,mario,No
AKU559,mario,No
AJM389,mario,No
AJJ896,mario,No
AKO645,mario,No
AJC982,mario,No
AJE088,mario,No
AKS780,mario,No
AKL577,mario,No
AJT713,mario,No
AKH044,mario,No
AKL707,mario,No
AKT601,mario,Yes
AKJ939,mario,No
AJL437,mario,No
AJI673,mario,No
AKI284,mario,Yes
AJM741,mario,No
AJC275,mario,No
AJU504,mario,No
AKW716,mario,No
AJZ296,mario,No
AKS713,mario,No
AKQ293,mario,No
AKZ268,mario,No
AJE679,mario,No
AJD799,mario,No
AJK939,mario,No
ALC955,mario,No
AKD084,mario,No
AJT955,mario,No
AJU098,mario,No
AJD739,mario,No
AJK654,mario,No
AJV137,mario,No
AJA925,mario,No
AKF872,mario,No
AJD308,mario,No
AJC457,mario,Yes
AJC926,mario,No
AKS827,mario,No
ATS018,mario,No
AKI733,mario,No
AJX660,mario,No
AJX875,mario,No
ATT590,mario,No
AJD466,mario,No
AKX244,mario,No
AJO536,mario,No
AKO345,mario,Yes
AJY967,mario,No
AJQ681,mario,No
AJF393,mario,No
AJU670,mario,No
AKT604,mario,No
AKG043,mario,No
AKZ590,mario,No
AKX188,mario,No
AKA719,mario,No
AJO512,mario,No
ALB800,mario,No
ALF052,mario,Yes
ALD340,mario,No
ALA469,mario,No
AKV968,mario,No
AJP183,mario,No
AKQ006,mario,No
AJG471,mario,No
AKQ275,mario,No
AJR625,mario,No
AKC874,mario,No
AJO214,mario,No
AJF338,mario,No
ATS433,mario,Yes
AKK372,mario,No
AJH897,mario,No
AKB128,mario,No
AJU517,mario,No
AJI098,mario,No
AJP972,mario,No
AJF259,mario,No
AKK279,mario,No
AJB870,mario,No
AKL861,mario,No
AKY836,mario,No
AKP519,mario,No
AKD634,mario,No
AKU827,mario,No
AKV117,mario,No
AKK866,mario,No
AKN743,mario,Yes
AKD596,mario,No
AKP787,mario,No
AJY262,mario,No
AKU231,mario,No
AJH915,mario,No
AJZ946,mario,No
AJT951,mario,Yes
AKG032,mario,No
ALE492,mario,No
AJU262,mario,No
AJS015,mario,No
AJS385,mario,No
AKU723,mario,No
AJV931,mario,No
AJG223,mario,No
AKD762,mario,No
ALE875,mario,No
AKD818,mario,No
AJN388,mario,No
AJK117,mario,No
ALA089,mario,No
ATS312,mario,No
ATT042,mario,No
AKK784,mario,No
AJW662,mario,No
AKR991,mario,No
AKK270,mario,No
AJO084,mario,No
AJN137,mario,No
ALF101,mario,No
AKI015,mario,No
AJT815,mario,No
AKJ239,mario,No
AKJ010,mario,No
AKD741,mario,No
AKF672,mario,No
AKX509,mario,No
AKI817,mario,No
AJT564,mario,No
ALC607,mario,No
AKV000,mario,No
AKB852,mario,No
AKK710,mario,Yes
AKE310,mario,No
AJI964,mario,No
AKP692,mario,No
AKC664,mario,No
AJX549,mario,No
ALE404,mario,No
AKO050,mario,No
ALD491,mario,No
AJH325,mario,No
ATS274,mario,Yes
AJD733,mario,No
ATT505,mario,No
ALE361,mario,No
AKV034,mario,No
AKH572,mario,No
AKO981,mario,No
ATU000,mario,No
AKO626,mario,No
AKY409,mario,No
AKT018,mario,No
AJS063,mario,No
AJI543,mario,No
AJU975,mario,Yes
AKA859,mario,No
ATT790,mario,Yes
AJO505,mario,No
AJA280,mario,No
AJR556,mario,No
ALC789,mario,No
AKS287,mario,No
AKF142,mario,Yes
AJG853,mario,No
AJY344,mario,No
AJX167,mario,No
AJH160,mario,No
AJV602,mario,No
AJN914,mario,No
AKN592,mario,No
AKD337,mario,No
ATV059,mario,No
AKL776,mario,No
AJO581,mario,No
AJZ258,mario,No
AJH514,mario,No
AKU725,mario,No
ALE341,mario,No
AJW181,mario,No
AKG245,mario,Yes
AKM591,mario,No
AJD157,mario,Yes
AIY682,mario,No
AJV230,mario,No
AKY304,mario,No
AJS460,mario,No
AKL572,mario,No
ALC199,mario,No
AJE556,mario,No
ALA389,mario,No
AKZ164,mario,No
AJK027,mario,No
AKC216,mario,No
AKK009,mario,No
AKC374,mario,No
ATS528,mario,No
AKW288,mario,No
AKZ004,mario,No
AKC599,mario,No
AKR036,mario,No
AKF808,mario,No
AJW499,mario,No
AKK257,mario,No
AJF633,mario,No
AKE120,mario,No
ATT509,mario,No
AKS537,mario,No
AKM809,mario,No
AJG965,mario,Yes
AKR657,mario,No
AKA162,mario,No
AJY677,mario,Yes
ALC357,mario,No
AKU690,mario,No
ALD607,mario,No
AJI069,mario,No
AKD229,mario,Yes
AJU074,mario,No
AKO155,mario,No
AJT684,mario,No
ALE171,mario,Yes
ATT207,mario,Yes
AKO033,mario,No
AJQ642,mario,No
ATU582,mario,No
AKN382,mario,No
AJV674,mario,No
ATU526,mario,No
AKS066,mario,No
AJR863,mario,No
AKV991,mario,No
ALD264,mario,No
AKV888,mario,No
ALE181,mario,No
AJI329,mario,No
AKL441,mario,No
AKF472,mario,Yes
AKK155,mario,No
AKC565,mario,No
AKD733,mario,No
AJT266,mario,No
AJP398,mario,No
AJF529,mario,No
AJM227,mario,No
ALD075,mario,No
AJW425,mario,Yes
AJY199,mario,No
AKM761,mario,No
AKG436,mario,No
AKH670,mario,No
AJR961,mario,No
AJH805,mario,No
AJB379,mario,Yes
AKM479,mario,No
AKW625,mario,No
AKK499,mario,No
AJX398,mario,No
AKI461,mario,Yes
AJA318,mario,No
AJT766,mario,Yes
AJD541,mario,No
AKP617,mario,No
AKA229,mario,No
AKD160,mario,No
AKQ965,mario,No
ATU905,mario,No
AKA320,mario,No
AKS691,mario,No
AKG264,mario,No
AJT271,mario,No
AKC167,mario,No
AKU431,mario,No
AKV450,mario,No
AKA848,mario,No
AJG886,mario,No
ATT237,mario,No
AKY023,mario,No
AJR352,mario,No
AKQ431,mario,No
AJQ850,mario,No
AKM941,mario,No
AJD839,mario,No
AJM660,mario,No
AJS330,mario,Yes
AKQ659,mario,No
AJM311,mario,No
AKZ364,mario,Yes
AKV375,mario,No
AIZ737,mario,Yes
AJW143,mario,No
AJU586,mario,No
AJQ213,mario,No
AKV068,mario,No
AJH688,mario,No
AKX127,mario,No
AKK480,mario,No
AKH796,mario,No
AJW163,mario,No
AKN581,mario,No
AJS007,mario,No
AKB714,mario,No
AKT515,mario,No
ALB962,mario,No
AKR027,mario,Yes
AIU191,mario,No
AKJ724,mario,No
AKZ111,mario,No
AJO901,mario,No
AJX480,mario,No
AJS307,mario,No
AKE994,mario,No
AJP531,mario,No
AKQ036,mario,No
AKK424,mario,No
ALB339,mario,No
AKF155,mario,No
AJN640,mario,No
AJJ379,mario,Yes
AKL091,mario,No
AKC608,mario,No
AJH524,mario,No
AKD672,mario,No
AKE998,mario,No
AKC484,mario,Yes
AKP576,mario,No
AKL079,mario,No
AKP209,mario,No
AJC137,mario,Yes
AJI671,mario,No
AJG007,mario,No
AKU405,mario,No
AJI282,mario,No
AJF459,mario,No
ATT005,mario,No
AKL356,mario,No
AJN946,mario,No
ATS571,mario,No
ALC645,mario,No
AJG605,mario,No
AKJ178,mario,No
AKZ899,mario,Yes
AKS088,mario,No
AJH453,mario,No
AKG501,mario,No
ALA506,mario,Yes
AJQ632,mario,No
AKU093,mario,No
AJW833,mario,No
AJM513,mario,No
AKJ696,mario,Yes
ATT914,mario,No
AKG045,mario,No
AJN060,mario,No
AJC055,mario,Yes
ATV594,mario,No
AJG715,mario,No
AJA519,mario,No
AKE222,mario,No
ALB963,mario,No
AIY372,mario,No
AKU311,mario,Yes
AJT709,mario,No
AKN281,mario,No
AKH295,mario,No
AKE399,mario,No
AJU400,mario,No
AJG249,mario,No
AIZ082,mario,Yes
AJY397,mario,No
AIZ423,mario,No
AJD209,mario,No
AJV428,mario,Yes
AJV161,mario,No
AKI459,mario,No
AJV758,mario,No
AKP487,mario,No
AKW478,mario,No
AKE650,mario,No
AJV040,mario,No
ALA501,mario,No
AKB931,mario,No
AJU499,mario,No
AJI341,mario,Yes
AKB444,mario,No
ATV270,mario,No
AKO767,mario,Yes
AKA455,mario,No
AKM082,mario,No
AKP778,mario,No
AJF550,mario,Yes
AKA481,mario,No
AJZ678,mario,No
ALE459,mario,No
AJD091,mario,No
AKV950,mario,No
AKO383,mario,No
AJK791,mario,No
AKL605,mario,No
AJW322,mario,No
AJX810,mario,No
AJJ232,mario,No
AJR330,mario,No
AJC539,mario,No
AKJ358,mario,No
AJH649,mario,No
AKK073,mario,No
ALC252,mario,No
AJL281,mario,No
AKX355,mario,No
AKX809,mario,No
AJL260,mario,No
AJD819,mario,Yes
AJM280,mario,No
ALD769,mario,No
AKY516,mario,No
AJY296,mario,No
AJF826,mario,Yes
ALB053,mario,No
AJG137,mario,No
ALE744,mario,No
AJG880,mario,No
AKV876,mario,No
AJF802,mario,Yes
AKL433,mario,No
AKP684,mario,No
AJY580,mario,No
AKL296,mario,No
AKO732,mario,No
AKZ648,mario,No
AJE871,mario,No
AKG852,mario,No
AJC744,mario,Yes
AKT286,mario,No
AJQ407,mario,Yes
AJI599,mario,No
AKO438,mario,No
ALF834,mario,No
AKS314,mario,No
ATU983,mario,No
AKA319,mario,No
ALB876,mario,No
AKR129,mario,No
AJX320,mario,No
AKI668,mario,No
AKB152,mario,No
AJD655,mario,No
AKR191,mario,No
AKO630,mario,No
AKE228,mario,No
AKQ436,mario,No
AKT109,mario,No
AKW946,mario,No
AJW809,mario,No
AKO179,mario,No
AKJ611,mario,No
ATT519,mario,No
AJC169,mario,No
AKT251,mario,No
AKH368,mario,No
AJL318,mario,No
AJP921,mario,No
AKA829,mario,No
AKR987,mario,No
AJB994,mario,No
ALA842,mario,No
AKP581,mario,No
AKI142,mario,Yes
AJT415,mario,No
AJK340,mario,No
AKD950,mario,No
AJL506,mario,No
AKF368,mario,No
AJV633,mario,No
AKH619,mario,No
AKK114,mario,No
AJY105,mario,No
AKL610,mario,No
ALC546,mario,No
AJN053,mario,No
AKQ472,mario,Yes
ATU243,mario,No
AKW943,mario,No
AKP134,mario,No
AJS254,mario,No
AKE138,mario,No
AKL633,mario,No
AKX654,mario,No
ALF736,mario,Yes
AKW552,mario,Yes
AJN938,mario,No
ATS081,mario,No
AJN903,mario,No
AJS557,mario,Yes
AJV797,mario,No
AJY836,mario,No
ALA896,mario,No
AJW038,mario,Yes
AKW628,mario,No
AKA487,mario,No
AKB118,mario,Yes
AJL690,mario,No
AKT396,mario,Yes
AKQ378,mario,Yes
AJL027,mario,Yes
AKZ039,mario,No
AJW048,mario,Yes
AJD647,mario,Yes
AJL952,mario,Yes
AJS152,mario,Yes
ALA287,mario,Yes
ALD412,mario,No
AKY390,mario,Yes
AJH713,mario,No
ALF455,mario,No
AKA961,mario,No
AJS014,mario,No
AJW064,mario,No
AKI064,mario,Yes
AJB420,mario,No
AKR684,mario,Yes
AJN547,mario,No
AJZ274,mario,No
AJQ094,mario,No
AKD650,mario,No
AKO357,mario,No
AJG694,mario,No
AJH310,mario,No
AKG755,mario,No
AKS118,mario,No
AJB143,mario,No
AJI715,mario,No
AJU518,mario,No
AKG733,mario,No
AJO364,mario,No
ALD442,mario,No
AKC698,mario,Yes
ALD441,mario,No
AKA760,mario,No
AJT687,mario,No
ALB588,mario,No
AKT912,mario,No
AKR601,mario,No
AJI023,mario,No
AKT892,mario,No
AJL502,mario,No
AKC256,mario,No
AJX569,mario,No
AKP559,mario,No
AJX404,mario,Yes
AJN169,mario,No
AKS637,mario,Yes
AJX063,mario,No
AIY730,mario,No
AKC187,mario,No
AKE065,mario,Yes
AKW593,mario,No
AJH287,mario,No
AJW052,mario,No
AKV276,mario,No
AJP065,mario,No
AKZ226,mario,No
AJK520,mario,No
AKU301,mario,Yes
AKD629,mario,No
AJV574,mario,No
AJZ053,mario,No
AKN841,mario,No
AKN384,mario,Yes
AJK685,mario,No
AJV479,mario,No
AJO507,mario,No
AKW103,mario,No
AKL771,mario,No
AKR894,mario,No
AKB421,mario,No
AJC978,mario,No
AJY723,mario,Yes
AJB320,mario,No
AKR688,mario,No
ALE179,mario,No
ALE893,mario,Yes
AJX340,mario,No
AKD580,mario,No
AJO123,mario,No
AJB887,mario,Yes
AKU009,mario,No
AKW592,mario,No
ALD374,mario,No
ALD242,mario,No
AKU486,mario,No
AKC693,mario,No
AKL803,mario,No
AJC304,mario,No
AKF679,mario,No
AJF982,mario,No
AKH292,mario,No
AJR340,mario,No
AJE655,mario,No
AJU170,mario,No
AKE661,mario,No
AKG539,mario,Yes
AJJ391,mario,No
AKC321,mario,No
AJK527,mario,No
AKH563,mario,No
AKF792,mario,No
AKM450,mario,No
AKC270,mario,Yes
AJZ952,mario,No
AJZ685,mario,Yes
AKW913,mario,No
AKW509,mario,No
AJT869,mario,No
AKX047,mario,No
AKZ397,mario,No
AKZ660,mario,Yes
AJX478,mario,No
AJC530,mario,No
AKL271,mario,Yes
AIZ981,mario,Yes
AJJ000,mario,No
ALE232,mario,No
AKC511,mario,Yes
AJB134,mario,No
AJH259,mario,Yes
AJS181,mario,No
AKQ325,mario,No
ALF556,mario,No
AKN252,mario,No
AKM799,mario,No
AKO834,mario,Yes
AJD649,mario,No
AJM525,mario,No
AJD130,mario,No
AJU946,mario,No
AJQ066,mario,No
ALA667,mario,Yes
AKF437,mario,No
AJJ667,mario,No
AJJ464,mario,No
AJI365,mario,No
AKD313,mario,No
AJE637,mario,No
AKK081,mario,No
AKH955,mario,No
AJH860,mario,No
AJR811,mario,No
AKV481,mario,No
AJM551,mario,No
AKO047,mario,No
AKQ151,mario,No
AKN790,mario,No
AJH603,mario,No
AKK354,mario,No
AKN211,mario,No
ATT078,mario,No
AKK406,mario,No
AKR352,mario,No
AJV326,mario,No
AJO873,mario,No
AJQ000,mario,No
AKE301,mario,No
AJN767,mario,No
AKL410,mario,No
AKO799,mario,No
AKM401,mario,No
AKS330,mario,No
ALA111,mario,Yes
AKW646,mario,No
AJH858,mario,No
ATU388,mario,No
ATV140,mario,No
AKL795,mario,No
AKY346,mario,Yes
AJO974,mario,No
AKZ129,mario,No
AJX152,mario,No
AKE204,mario,No
AKA153,mario,No
AJD428,mario,No
ATU157,mario,No
AKF728,mario,Yes
ALC875,mario,No
ALB490,mario,No
AJT333,mario,No
AJN980,mario,No
AKF410,mario,No
AKC686,mario,No
AKV731,mario,No
AKX298,mario,Yes
AJD722,mario,Yes
AJK719,mario,No
AJI612,mario,No
AKM478,mario,No
AJX671,mario,No
ALF209,mario,No
AKB133,mario,No
AJN439,mario,Yes
AJO934,mario,Yes
AKW751,mario,Yes
AKC713,mario,No
AJP591,mario,Yes
AJP872,mario,Yes
AKR822,mario,Yes
AKF957,mario,No
AJS161,mario,No
AJW120,mario,No
AKZ864,mario,No
ALB543,mario,No
AJX202,mario,No
AJT979,mario,No
AJU248,mario,No
AJO286,mario,No
AKH224,mario,No
AJZ687,mario,No
AKW061,mario,No
AKO982,mario,No
AJT722,mario,No
AJH392,mario,No
AJF669,mario,No
AKF152,mario,No
AKA115,mario,No
AKL881,mario,No
AKW659,mario,No
ALA065,mario,No
ALF729,mario,No
AKH687,mario,Yes
AJK827,mario,No
AKS673,mario,No
AKN958,mario,No
AJB858,mario,Yes
AJM880,mario,No
ATS481,mario,No
AJF220,mario,No
AJV708,mario,No
ALA099,mario,No
AJE485,mario,No
AKN675,mario,No
AKO117,mario,No
AKN401,mario,No
AJO435,mario,No
AJN399,mario,No
AJV539,mario,No
AJB522,mario,No
AKA312,mario,No
ATT525,mario,No
AJH766,mario,No
AKE991,mario,No
AJP164,mario,No
AKA688,mario,No
AJH008,mario,No
ALA010,mario,No
AJQ516,mario,No
AKS067,mario,No
AKU040,mario,No
AJL940,mario,Yes
AJS657,mario,No
AKC649,mario,No
AJC702,mario,No
AKY510,mario,No
AKC931,mario,No
AKF626,mario,No
AKF052,mario,Yes
ALE136,mario,No
AJD212,mario,No
AJW158,mario,No
AJU777,mario,No
AJO906,mario,No
AKJ870,mario,No
AJN239,mario,No
ALB008,mario,No
ATV069,mario,No
AJF462,mario,No
AKT272,mario,Yes
AIZ470,mario,No
ALE828,mario,No
AJX050,mario,No
AKZ309,mario,No
ALC098,mario,No
AJQ235,mario,No
AKJ249,mario,No
ALC275,mario,No
ATU862,mario,No
AJV862,mario,No
AJF958,mario,Yes
AKX753,mario,No
AKB325,mario,No
AKR758,mario,No
AJQ942,mario,No
AKP726,mario,No
AJR376,mario,No
AKT946,mario,No
AKV565,mario,No
