,SoftwareJob,closes,contract,description,duration_ad_days,employer,enhanced,extra_location,extra_location_s,extra_subject_area,extra_subject_area_s,extra_type___role,funding_amount,funding_for,hours,include_in_study,invalid_code,job_ref,job_title,jobid,location,placed_on,prediction,qualification_type,salary,tags,uk_university
108,Yes,2014-10-05,Permanent,"
 The Role 
 No agencies please. 
 We are seeking a Web Application Developer to join our Online Services team. Working in a small team, you will be involved in the full life cycle development of web applications. 
 Requirements 
 The ideal candidate will have a strong set of Web development skills, including SQL Server 2008 R2 technology, and will be able to demonstrate usage of the full development life cycle. 
 The candidate needs to be self-motivated, issue resolving and can thrive in the job with limited supervision. The candidate should have excellent communication skills in order to share ideas and succeed in a tight-knit team environment. 
 ASP.Net and MVC is desirable but someone with strong webform knowledge would be considered. 
 About The Department 
 The Department of Shared Services for Students and Graduates is currently made up of two autonomous units – The Careers Group and Housing Services. 
 The Careers Group delivers products and services which help individuals achieve and maintain careers success; help organisations, institutions and academic staff to help individuals achieve and maintain careers success; and help employers recruit, retain and develop employees. Housing Services provides a one-stop service for students, assisting them to find housing either in University halls of residence, self-catered accommodation or in the private rented sector through registration schemes for landlords, letting agencies and a range of private housing providers. They provide a housing advice service to support students when they are searching for or living in private accommodation. The Careers Group runs a separately accounted for business (although it is integral to all their operations) – the University of London Temp Agency. Housing Services runs a separately accounted for project - the Head Leasing Scheme. 
 Further Information 
 To apply for this position, please visit the link below and submit  both a CV and Covering Letter  explaining your suitability for the role via our online recruitment system. 
 Closing date: Sunday, 5 October 2014 at midnight. 
 Please note that the selection process will have two stages: 
 In the first instance, shortlisted candidates will be invited to a technical coding test. 
 Interviews will be arranged only for candidates who have passed the technical test. 
 For more information about The Careers Group, please visit  www.thecareersgroup.co.uk . 
 The Careers Group, University of London is an Equal Opportunities employer. 
 The University offers membership to the Universities’ Superannuation Scheme (USS).  
 About the University of London The University of London is one of the oldest and largest universities in the UK – and the most diverse. Established by Royal Charter in 1836, the University is recognised globally as a world leader in Higher Education. We are a federal institution consisting of 18 self-governing Colleges of outstanding reputation and a number of acclaimed central academic bodies. The University of London offers almost every subject covered in any University curriculum, delivering huge flexibility and choice to its students. 
",18,University of London - The Careers Group,normal,London,,"['IT', 'PR, Marketing, Sales and Communication']",,"['Professional or Managerial', 'Technical']",,,Full Time,False,,088/14,Web Developer (Online Services),AJP646,City Of London,2014-09-17,1,,"
                                            £32,568
                                                     to £39,528                                                                                                            pa incl LW
                                        ","['Most', 'Some']",
109,None,2014-10-16,Permanent,"
 (0.7FTE)   We are seeking to appoint a practising artist with demonstrable expertise in printmaking, to work closely with the rest of the Fine Art team.  You will have a strong understanding of the exploration of visual representation allied to the materials, processes and formats of established and developing technologies in contemporary print making. This expertise can have been acquired through practice based experience and/or academic research. An interest in current theory and criticism is essential. You will be able to relate across fields of practice beyond Fine Art Printmaking to inspire students studying Fine Arts in is broadest sense. You should have a relevant Master’s degree and preferably a PhD, plus a relevant track record of publication/exhibition. Excellent interpersonal and team working skills are also key attributes for the post. 
 Interviews to be held on Friday 28 November 2014 
 Our coat of arms carries the motto ‘Innovation and opportunity’ – something which is as true today as all those years ago when we were established in the mid-1800s. Our staff contribute to our success so we can continue to be a major stakeholder in the UK higher education sector, achieving knowledge transfer, economic development, wealth creation and social justice. As ‘The University of Opportunity’, we remain a beacon for creativity, empowerment, equality and wellbeing. 
",28,University of Wolverhampton - Faculty of Arts,normal,Midlands of England,,['Creative Arts and Design'],,['Academic or Research'],,,Part Time,False,,A6442,Lecturer/Senior Lecturer in Fine Art (Printmaking),AJP782,Wolverhampton,2014-09-18,0,,"
                                            £33,242
                                                     to £47,328                                                                                                            pa pro rata
                                        ","['None', 'None']",University of Wolverhampton
110,Ambiguous,2014-10-17,Permanent,"
 The Role The main role of this technical post is to assist in all aspects of the daily running of the School’s IT infrastructure e.g. PC set-ups/repairs/upgrades, software installation, dealing with network problems, website maintenance. 
 To assist in the Physics Teaching Laboratories and support other areas within the Technical Services of the School of Physical Sciences e.g. Goods Inwards/Outwards, Electrical Portable Appliance Testing (PAT Testing). 
 The Person The successful candidate will be educated to degree level in an IT related subject, and have a strong understanding of Physics. You will also have good IT skills and competency with data manipulation, with particular experience with Microsoft Office and Windows 7/8. 
 For a complete person specification please refer to the job description. 
 The Department The School of Physical Sciences is situated in a newly refurbished science laboratory on the Canterbury Campus. 
 The School of Physical Sciences (SPS) is part of the Faculty of Sciences within the University. It offers a number of undergraduate and postgraduate degree programmes in Physics and Forensic Science. Currently there are approximately 880 students and 30 full time academic staff within the School along with a number of clerical, administrative and technical support staff. SPS is a dynamic School achieving national and international excellence in both teaching and research (grade point average 3.05 in RAE-2008). The research effort is led by four groups, Applied Optics, Astrophysics and Planetary Science, Forensic Science, and Functional Materials. SPS has also developed a very active Outreach programme with Schools and Professional Institutions at the local and national level and is a member of the South East Physics Network SEPNet  www.sepnet.ac.uk 
 Website:  www.kent.ac.uk/physical-sciences/ 
 Further Information Interviews are to be held: 28 Oct 2014 
 Please see the links below to view the full job description and also to apply for this post (please do not send your application directly to the department). 
 How to apply  - for this type of position you will be required to complete the on line application process. Please note we do not accept CVs for this post. 
 If you require further information regarding the post or application process please contact Hannah Preece on  h.l.preece@kent.ac.uk . Please note applications must be made via the University website - details sent directly via email cannot be considered. 
 Athena SWAN This is a national scheme whereby Universities commit to advancing and promoting the careers of female scientists. The University of Kent committed to Athena SWAN in 2011 and has since made an institutional application for a Bronze Award. In aiming for excellence in employment practices in Higher Education, we hope to create a better working environment for all staff; details can be seen on our website at  http://www.kent.ac.uk/human-resources/athenaswan/ . 
",29,University of Kent - School of Physical Sciences,normal,South East England,,['IT'],,['Technical'],,,Full Time,False,,STM0506,IT Support/Laboratory Technician,AJP860,Canterbury,2014-09-18,0,,"
                                            £21,391
                                                     to £24,057                                                                                                        ","['Most', 'Insufficient Evidence', 'None']",
111,None,2014-09-30,Permanent,"
 Interview Date:  To be confirmed 
 As a Communications and Website Co-ordinator in Computing Services you will be responsible for the information workflow, collaborating with colleagues from across the department and University to produce and deliver documentation and communications for all things Computing, helping to improve the awareness and IT Literacy of our customers. 
 Visionary with an eye for detail, you should have the ability to make connections, organise information, and produce content to a high standard using a variety of mediums for example web pages, PDFs and videos which can be clearly understood by your audience. 
 Confident in your approach, you should have excellent editorial skills, a proven track record of proofreading and editing and be comfortable with creating and managing content across multiple channels. The ability to take technical information and decode it will be a distinct advantage as will an understanding and appreciation of social media as a method of communication. 
 This is an exciting and varied role working at a leading University with an excellent work environment. The campus offers a wide-range of on-site amenities, including world-class sporting facilities; it is also surrounded by beautiful countryside and overlooks the city of Bath, a world heritage site. 
 For further information please contact Sherilyn Elmes (Service Manager IT Literacy) via email  s.r.elmes@bath.ac.uk 
 Further details: 
 Job Description & Person Specification 
 Terms of Employment 
 Bath, proud to be an Equal Opportunities Employer, Best Campus University and 1st for Student Satisfaction 
",12,University of Bath - Computing Services,normal,South West England,,"['IT', 'PR, Marketing, Sales and Communication']",,['Professional or Managerial'],,,Full Time,False,,CC2689,Communications and Website Co-ordinator,AJP921,Bath,2014-09-18,0,,"
                                            £24,775
                                                     to £30,434                                                                                                            Grade 6
                                        ","['None', 'Some', 'None']",University of Bath
112,None,2014-10-18,Permanent,"
 Applications are sought for Mechanical Test and Materials Technician to   provide comprehensive technical support for staff and students in the School to enable the achievement of teaching and research aims and objectives. 
 The successful candidate would be responsible for the operation and upkeep of the mechanical test and materials processing facilities including the setup of a materials processing laboratory. The technician will also be responsible for the instruction, guidance and supervision of staff and students in the use of laboratory equipment and techniques and health and safety. Each technician has a primary area for which they are responsible, they must also work as part of a team to support and cover duties at busy times and during other team members’ absences. 
 Essential requirements for this post are a degree in Engineering or Materials Science and a postgraduate qualification in a related field. Substantial experience in a higher education or research environment is also essential. 
 The post is full-time and permanent. Salary will be in the range £31,735 - £37,275 per annum inclusive of London Allowance. Benefits include 30 days annual leave, defined benefit pension scheme and interest-free season ticket loan. 
 Additional Information 
 Candidates must be able to demonstrate their eligibility to work in the UK in accordance with the Immigration, Asylum and Nationality Act 2006. Where required this may include entry clearance or continued leave to remain under the Points Based Immigration Scheme. 
 Details about the School of Engineering and Materials Science can found at  http://www.sems.qmul.ac.uk/ 
 Application enquiries should be directed to  recruitment@qmul.ac.uk . 
 To apply, please visit the Human Resources website on  http://www.jobs.qmul.ac.uk  and search for reference   QMUL4612 
 The closing date for applications is   18 October2014   and interviews are anticipated to be held within two weeks of the closing date. 
 Valuing Diversity & Committed to Equality 
",29,"Queen Mary, University of London - Engineering & Materials Science",normal,London,,"['Physical and Environmental Sciences', 'Engineering and Technology']",,['Technical'],,,Full Time,False,,QMUL4612,Mechanical Test and Materials Processing Technician,AJQ024,City Of London,2014-09-19,0,,"
                                            £31,735
                                                     to £37,275                                                                                                            inclusive of London Allowance
                                        ","['None', 'None']","Queen Mary, University of London"
113,None,2014-09-30,Permanent,"
 The Institute for Global Prosperity will launch in October 2014 with social anthropologist Professor Henrietta L Moore, UCL Chair of Culture, Philosophy and Design, as its founding director. The Institute will bring together multi-disciplinary expertise from across UCL and the global academic community. Of particular importance to its approach is the way in which the Institute will integrate non-academic expertise in its approach and into its knowledge generation, by engaging with decision makers, business, civil society and its communities. We are seeking to appoint an Institute Administrator to play a vital role in setting up and running the institute. 
 The postholder will work closely with the Director, and will be responsible for the day -to- day management and administration of the Institute.  
 The successful applicant will have excellent interpersonal and communication skills, the ability to work effectively under pressure, and previous experience in an administrative role as well as events management.  
 Applicants should apply online. To access further details about the position and how to apply please click on the ‘Apply’ button below. 
 If you have any queries about the vacancy or the application process, please contact Helen Fisher,  h.fisher@ucl.ac.uk  or 02031089141. 
 Latest time for the submission of applications: 15.00. 
 We particularly welcome applications from black and minority ethnic candidates as they are under-represented within UCL at this level.  
",11,"University College London - UCL The Bartlett, Faculty of the Built Environment; Institute for Global Prosperity",normal,London,,"['Administrative', 'Hospitality, Retail, Conferences and Events']",,['Professional or Managerial'],,,Full Time,False,,1434462,Institute Administrator,AJQ162,London,2014-09-19,0,,"
                                            £33,353
                                                     to £40,313                                                                                                            per annum, inclusive of London Allowance. UCL Grade 7
                                        ","['None', 'None']",
114,None,2014-10-03,Permanent,"
 The School of Arts wishes to appoint a Lecturer in Drama to start in January 2015. 
 Drama at De Montfort is characterised by its combination of theory and practice, its focus on the full range of Drama, from traditional dramatic forms to contemporary experimental performance, and its commitment to self-reflection in teaching and learning. Consistently ranked highly for overall satisfaction in the NSS, Drama is an established programme in the School of Arts; a School that encompasses a range of programmes across the performance and visual arts, and arts management, and that plays an important role in the cultural life of the university. As part of its undergraduate and postgraduate curricula the School of Arts hosts a number of performance events throughout the academic year, including Drama''s co-collaboration with Leicester''s Curve Theatre as part of the University''s creative and educational partnership. 
 Teaching in Drama takes place in purpose-built studios equipped also for production work. Additionally, the University is expanding its provision with a multi-million pound capital investment, including a significant redevelopment of the Faculty''s facilities.  This is an exciting opportunity to contribute to the development of the Drama provision at DMU. The successful candidate will bring experience of working in a professional theatre context, and have teaching or training experience. An understanding of theatre production and/or applied theatre would be an advantage. For the job description, person specification and further details please click on the Apply link.  
",14,De Montfort University - Faculty of Art Design & Humanities,normal,Midlands of England,,['Creative Arts and Design'],,['Academic or Research'],,,Full Time,False,,8598,Lecturer in Drama,AJQ222,Leicester,2014-09-19,0,,"
                                            £32,277
                                                     to £35,256                                                                                                            per annum
                                        ","['None', 'None']",
115,None,2014-10-01,Contract / Temporary,"
 Start date: as soon as possible 
 Post type: Fixed-term (until 30 November 2015) 
 We are looking for a motivated person to support our research investigating the link between diet and cancer as part of the EU funded Phytome ( http://www.phytome.eu ) project. You will support the processing and analysis of food samples and specimens from human intervention studies to identify and characterise risk factors for cancer. 
 You will have: 
 -  Experience in analytical laboratory work, such as the preparation of stock solutions and buffers 
 -  The ability to work independently and without supervision 
 Informal contact details 
 Contact role: Associate Professor 
 Contact name: Gunter G. C. Kuhnle 
 Contact phone: +44 (0)118 378 7723 
 Contact email:  g.g.kuhnle@reading.ac.uk 
 To formally apply please visit  www.reading.ac.uk/jobs  or contact Human Resources, University of Reading, Whiteknights, PO Box 217, Reading RG6 6AH. Telephone +44(0)118 378 6771 (voicemail) 
 Please quote the relevant reference number. 
 We value a diverse workforce and welcome applications from all sections of the community. 
 We invite you to apply online for this vacancy by clicking the link at the bottom of this page. 
 Alternatively, if you wish to apply using a hardcopy form please email  recruitment@reading.ac.uk  or contact Human Resources, University of Reading, Whiteknights, PO Box 217, Reading RG6 6AH or Telephone +44(0)118 378 6771 (voicemail). 
",9,University of Reading - Department of Food & Nutritional Sciences,normal,South East England,,"['Health and Medical', 'Other']",,"['Academic or Research', 'Technical']",,,Full Time,False,,TS14016,Research Technician,AJQ273,Reading,2014-09-22,0,,"
                                            £15,765
                                                     to £18,031                                                                                                            per annum
                                        ","['None', 'None']",University of Reading
116,None,2014-10-02,Contract / Temporary,"
 Location:   Leeds - Main Campus 
 Faculty/Service:   Faculty of Mathematics & Physical Sciences 
 Category:   Research 
 Please note, due to funding limitations it will not be possible to appoint above £32,277 p.a. 
 Contract Type:   Fixed Term (34 months) 
 Full time (part time hours will be considered) 
 We are seeking an experienced Research Fellow to join the Nutritional Epidemiology Group (NEG) to run an exciting new project funded by the Medical Research Council to develop a partnership to improve and innovate in dietary assessment technology. 
 Possessing a PhD in nutrition or epidemiology, you will be responsible for managing the project which involves a multi-disciplinary team across 8 Universities or food related organisations. You will have oversight of all aspects of the project. In particular, you will be responsible for establishing new collection, analysis and reporting standards for dietary assessment; managing the creation of a website hosting dietary assessment tools (DAT-eLibrary); supporting the expansion of existing UK food composition tables; facilitating the creation of an on-line interface between the dietary assessment tools and the food composition tables. You will work with the management structure of the partnership: the management group; advisory board; expert group and the policy and dissemination group. You will directly work with the project team database manager and support post as well as the web-design team. 
 While the post is based at the University of Leeds Campus visits to other organisations may be required. 
 You can find out more about the University of Leeds and the Nutritional Epidemiology Group at  http://www.food.leeds.ac.uk/research/sections/nutrition-and-public-health/nutritional-epidemiology.html 
 Informal enquiries may be made to Professor Janet Cade, tel +44 (0)113 343 6946, email  j.e.cade@leeds.ac.uk , or Dr Nisreen Alwan, tel +44 (0)113 343 6990, email  n.alwan@leeds.ac.uk 
 Click here for further information about working at the University of Leeds  www.leeds.ac.uk/info/20025/university_jobs 
",10,University of Leeds - School of Food Science & Nutrition,normal,Northern England,,"['Health and Medical', 'Mathematics and Statistics']",,['Academic or Research'],,,Full Time,False,,MAPFS1004,Research Fellow in Nutritional Epidemiology,AJQ359,Leeds,2014-09-22,0,,"
                                            £31,342
                                                     to £37,394                                                                                                            Grade 7 per annum
                                        ","['None', 'Some', 'None']",University of Leeds
117,None,2014-10-15,Contract / Temporary,"
 The Department of Primary Care and Public Health in Imperial College London’s School of Public Health is recruiting for a position as NIHR Clinical Lecturer in Primary Care. This is an exciting opportunity to play a key role in developing research within the Department and the School of Public Health as well as teaching. The post holder will apply for funds and grants for research in primary care as well as manage research projects. In the teaching capacity the post holder will supervise PhD students, contribute to postgraduate medical education within the Faculty and provide support for the undergraduate medical education programme. 
 Applicants should hold a PhD or MD or equivalent in a scientific area, and have prior experience of primary care, epidemiological or health services research and publications in peer-reviewed journals. Eligibility for inclusion in the GMC Specialist Register for General Practice is essential. 
 This post is full time and fixed term for four years, and will be based at the Charing Cross Hospital Campus, Hammersmith with occasional duties at other campuses and some clinical duties in a general practice in London. 
 Please contact Professor Azeem Majeed at a.majeed@imperial.ac.uk for any questions regarding this vacancy. 
 Our preferred method of application is online via our website  http://www3.imperial.ac.uk/employment . Please complete and upload an application form as directed. 
 Imperial Managers lead by example. 
 
 Committed to equality and valuing diversity.  We are also an Athena Silver SWAN Award winner, a Stonewall Diversity Champion and a Two Ticks Employer and are working in partnership with GIRES to promote respect for trans people. 
 
",20,"Imperial College London - School of Public Health, Department of Primary Care and Public Health",normal,London,,"['Health and Medical', 'Biological Sciences']",,['Academic or Research'],,,Full Time,False,,SM209-14,NIHR Clinical Lecturer in Primary Care,AJQ965,City Of London,2014-09-25,0,,"
                                            £76,666
                                                                                                                                                                per annum
                                        ","['None', 'None']",Imperial College London
118,Yes,2014-10-27,Contract / Temporary,"
 This is a fixed term position for 18 months duration. Project to be completed by 30 April 2016 
 Applications are invited for the position of Research Assistant in the Swansea Centre for Health Economics (SCHE) within the College of Human and Health Sciences reference AC00986. 
 Educated to at least undergraduate level, the successful candidate will have a sound background in health care research and a demonstrable track record in being able to translate protocols into action, data collection (ideally interview based) and analysis (ideally SPSS/STATA) related the health care research in a previous or current position. It is desirable that the successful candidate has experience of working on a project/s where there is clear evidence of interpretation of analysis plans, utilising existing and trial data sets and perform a range of analysis required to deliver clear and meaningful results. They should also have experience of literature review and preparing reports and manuscripts. 
 The post holder will be expected to undertake data collection and research as part of the DeCoDer project funded by NIHR HTA. 
 Possession of a Masters level qualification and experience of working in and contributing to health economics research are desirable. 
 Swansea Centre for Health Economics (SCHE) has been established to provide academically robust high-quality research, training and consultancy services in health economics, balanced with a real-world understanding of the environment into which it will be applied. It has been developed on the basis of a long and successful tradition of health economics research in Swansea University, coupled with the recent arrival of experienced practitioners who bring a wealth of experience and expansive network of expertise. 
 For an informal discussion or further information please contact Pippa Anderson at  p.anderson@swansea.ac.uk 
 This post will close at midnight Monday 27th October 2014. Applicants will find full job details together with the online application link at  http://www.swansea.ac.uk/the-university/work-at-swansea/jobs/details.php?nPostingID=1712&nPostingTargetID=3186&option=52&sort=DESC&respnr=1&ID=QHUFK026203F3VBQB7VLO8NXD&JOBADLG=UK&Resultsperpage=20&lg=UK&mask=suext 
 We are an equal opportunity employer aiming for diversity in our workforce. 
",32,Swansea University - College of Human and Health Sciences,normal,Wales,,"['Economics', 'Social Sciences and Social Care']",,['Academic or Research'],,,Full Time,False,,AC986,Research Assistant (De-CoDer),AJR085,Swansea,2014-09-25,1,,"
                                            £27,864
                                                     to £29,552                                                                                                            per annum (pro rata if part time) together with USS pensions if required.
                                        ","['Some', 'None', 'Some']",Swansea University
119,None,2014-10-26,Contract / Temporary,"
 College of Medical, Veterinary and Life Sciences 
 This post has funding for 3 years. 
 The Institute of Cancer Sciences is seeking a Laboratory Manager to manage a new and expanding laboratory, providing technical and organisational assistance to the team investigating metabolic adaptations in cancer cells in in vitro (cell culture) and in vivo (animal) models of pancreatic cancer and other cancers. 
 You will be required to individually carry out research projects, to be responsible for management of good laboratory practices, adherence to relevant safety regulation (chemical, biological and radiological), ordering, and appropriate record keeping. 
 The successful applicant will also provide appropriate First Aid assistance in the event of injury to laboratory personnel.   
 This post is based in the research group of Dr Jurre Kamphorst. 
 Apply online at:  www.glasgow.ac.uk/jobs 
 The University has recently been awarded the  Athena SWAN Institutional Bronze Award 
 The University is committed to equality of opportunity in employment. 
",31,University of Glasgow - Research Institute of Cancer Sciences,normal,Scotland,,"['Biological Sciences', 'Administrative']",,"['Professional or Managerial', 'Technical']",,,Full Time,False,,009326,Laboratory Manager,AJR100,Glasgow,2014-09-25,0,,"
                                            £27,057
                                                     to £30,434                                                                                                            Grade 6. Per annum
                                        ","['None', 'None']",University of Glasgow
120,Yes,2014-10-19,Contract / Temporary,"
 Rothamsted Research, the largest agricultural research centre in the UK and the oldest agricultural research station in the world, is seeking a suitably qualified mathematical modeller, ecologist or epidemiologist for a post-doctoral position to work on fundamental and applied aspects of the population genetics and epidemiology of plant pathogens. 
 The Post-doctoral researcher will combine population genetic and epidemiological models to study the evolutionary consequences of integrated control of plant diseases. The Key aim is to quantify the consequences for the sustainability of disease control of integrated use of cultivar resistance and fungicides. 
 Alongside an extensive experimental program the post-doctoral researcher will develop and analyse models as well as use the data for model testing. 
 Key application area: The project will use potato late blight as a test system which is both scientifically tractable and of high economic significance. The knowledge and strategies identified will be specifically relevant to the potato industry and provide insights for the wider horticultural industry. 
 As well as address fundamental research questions in this area, the post-holder will have the opportunity to work closely with regulatory agencies and national and international partners to have a tangible impact on control strategies in practice. The successful applicants will have strong quantitative skills and experience in population genetic or epidemic modelling. 
 The posts will be located in the Computational and Systems Biology Department at Rothamsted Research under the supervision of Dr Frank van den Bosch, with close interactions with the internal and external collaborators. Informal enquiries about this post can be directed to Dr Frank van den Bosch ( frank.vandenbosch@rothamsted.ac.uk  or 01582 763133 x2372) 
 The appointment is full-time within Band D with a starting salary normally in the region of £29,842 and £32,315 per annum. The post is available for a three year period. 
 Apply by application form only, available with further particulars from  www.rothamsted.ac.uk  or from the HR Group, Rothamsted Research, Harpenden, Herts, AL5 2JQ,  rres.hr@rothamsted.ac.uk .    
 Please quote reference.  1358 Closing date:  19 October 2014 
 An Equal Opportunities Employer. 
 As users of the disability symbol, Rothamsted Research guarantees to interview all disabled applicants who meet the minimum criteria for our vacancies. 
",23,Rothamsted Research - Computational and Systems Biology Department,normal,South East England,,"['Agriculture, Food and Veterinary', 'Biological Sciences', 'Physical and Environmental Sciences', 'Mathematics and Statistics']",,['Academic or Research'],,,Full Time,False,,1358,Post Doctoral Research Scientist - Ecological / Epidemiological Modeller,AJR213,Harpenden,2014-09-26,1,,"
                                            £29,842
                                                     to £32,315                                                                                                            per annum
                                        ","['Most', 'Some']",
121,Yes,2014-10-21,Permanent,"
 FTE:  This is a full time position for 37 hours per week 
 Duration of contract:  This is a permanent position 
 The School of Engineering and Technology is seeking to make a permanent appointment in automotive / motorsport engineering, with specific knowledge and experience in one or more of the following areas: Automotive design and Chassis, Automotive CAE, Automotive Electronics, Engine mapping and Dynamometers 
 You will be a high-achieving individual with excellent research background. A PhD in a relevant industry is desirable, and industry and/or teaching experience will be an advantage. 
 You will focus on teaching at undergraduate and postgraduate level, but will also be able to contribute to the School’s other activities, such as commercial and research work. The School of Engineering and Technology offers degrees in Aerospace and Aerospace Systems Engineering, Automotive and Motorsport Engineering, Mechanical Engineering and Mechatronics, Electrical and Electronic Engineering, and Digital Technology. 
 You will also be expected to have the potential to undertake the full range of duties commensurate with a research-informed, teaching School. 
 Contact Details/Informal enquiries:  Informal enquiries may be made to Dr. George Haritos via email at  g.haritos@herts.ac.uk 
 Under current UK Visa and Immigration Service regulations, the University is unlikely to be able to get a work permit in respect of this post. We can therefore only accept applications from people who will have the right to work in the UK for at least two years from the date of appointment.  
 The University offers a range of benefits including a final salary pension scheme, professional development, family friendly policies, child care vouchers, waiving of course fees for the children of staff at UH, discounted memberships at the Hertfordshire Sports Village and generous annual leave. 
 Apply online at  http://www.herts.ac.uk/jobs 
",22,University of Hertfordshire - School of Engineering and Technology,normal,South East England,,['Engineering and Technology'],,['Academic or Research'],,,Full Time,False,,012154,Lecturer/Senior Lecturer in Motorsport / Automotive Engineering,AJR391,Hatfield,2014-09-29,1,,"
                                            £31,342
                                                     to £47,328                                                                                                            per annum depending on skills and experience
                                        ","['Some', 'None', 'Some']",
122,None,2014-10-29,Contract / Temporary,"
 College of Engineering and Physical Sciences 
 Post is available for a period of 15 months from 1 st  January 2015 or from a different date by mutual agreement.  
 The University invites applications for a Research Fellow to work with Professor Jon Binner on an EPSRC-funded project on “Microwave chemical vapour infiltration of UHTC-based composites”. The main theme of the project is to produce ultra-high temperature composites using the impregnation of fibre preforms with UHTC powders followed by using a microwave heated, chemical vapour infiltration process to deposit a UHTC matrix to fill up the remaining porosity. 
 Applicants will be expected to hold a first degree in Materials Science / Materials Engineering or a related subject and a PhD degree (in a relevant area) or equivalent qualifications. Also they should possess a proven research track record in technical ceramics. 
 Informal enquiries about this position may be made to Professor Jon Binner ( j.binner@bham.ac.uk ) 
 The successful candidate will join the vibrant ceramics research group in the School of Metallurgy and Materials at the University of Birmingham. Further information about the School of Metallurgy and Materials is available on  http://www.birmingham.ac.uk/schools/metallurgy-materials/index.aspx 
 To download the details of this position and submit an electronic application online please click on the Apply Online button below, please quote Job Ref in all enquiries. 
 Promoting Equality, Celebrating Diversity 
",28,University of Birmingham - School of Metallurgy and Materials,normal,Midlands of England,,"['Physical and Environmental Sciences', 'Engineering and Technology']",,['Academic or Research'],,,Full Time,False,,52813,Research Fellow in Processing of UHTC-Based Composites,AJR541,Birmingham,2014-10-01,0,,"
                                            £28,132
                                                     to £30,728                                                                                                        ","['Some', 'None', 'None']",University of Birmingham
123,None,2014-10-29,Permanent,"
 Interview Date:  To be confirmed 
 The Business Faculty at the University of Greenwich is looking to appoint a new Head for its Human Resources and Organisational Behaviour Department. 
 This is a large Department, with around 29 staff, 750 students on-campus, and 2000 studying with partner institutions overseas. It runs a comprehensive range of programmes within the subject area at both Undergraduate and Postgraduate levels. Recent appointments have strengthened the research capability of the Department, and it hosts two significant research groups: the Work and Employment Research Unit; and the Leadership and Organisational Behaviour group. These groups have generated significant external research income over the past two years. 
 We are looking for an ambitious academic leader with a strong research track record, commitment to continuous improvement in teaching and learning, and commitment too to improving the employment outcomes for graduates. 
 Potential candidates are welcome to contact the Pro Vice Chancellor, Jon Sibson, ( j.sibson@gre.ac.uk ) for an informal discussion in advance of making an application. 
   
",29,University of Greenwich - Faculty of Business,normal,London,,"['Human Resources', 'Senior Management']",,['Professional or Managerial'],,,Full Time,False,,669,Head of the Human Resources and Organisational Behaviour Department,AJR671,London,2014-09-30,0,,"
                                            £56,482
                                                     to £67,413                                                                                                            plus £3,437 London weighting
                                        ","['None', 'None']",University of Greenwich
124,Yes,2014-10-31,Contract / Temporary,"
 Grade 7: £19,505 to £21,939 per annum pro rata to £27,864 to £31,342 per annum 
 Grade 8: £22,594 to £26,176 per annum pro rata to £32,277 to £37,934 per annum together with USS pension benefits if required. This is a fixed term position to 31st March 2015. 
 The post holder will carry out research in the area of computational cardiovascular mechanics and be able to produce publications and grant applications regularly. 
 Candidates will have a Masters or PhD in biomedical engineering, computational engineering or equivalent, with evidence of the ability to actively engage in and contribute to writing and publishing research papers, particularly for refereed journals.  In addition candidates will have evidence of planning skills to contribute to a research project. 
 Informal enquiries are welcome and should be directed to Professor Nithiarasu  p.nitharasue@swansea.ac.uk   tel 01792 513267 or Tinnu Savortham  t.s.savortham@swansea.ac.uk  tel: 01792 503031. 
 To apply please go to   http://www.swansea.ac.uk/the-university/work-at-swansea/jobs/details.php?nPostingId=1729&nPostingTargetId=3211&id=QHUFK026203F3VBQB7VLO8NXD&LG=UK 
 We are an equal opportunity employer aiming for diversity in our workforce. 
",30,Swansea University - College of Medicine,normal,Wales,,"['Biological Sciences', 'Engineering and Technology']",,['Academic or Research'],,,Full Time,False,,AC00917,Research Assistant/Officer,AJR909,Swansea,2014-10-01,1,,"
                                            £19,505
                                                     to £26,176                                                                                                        ","['Most', 'Some']",Swansea University
